zmode_mean,filepath
1.142950346841913,objectTable_tract_3837_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_16_20220219T164501Z-part1.pq
1.1289428784951847,objectTable_tract_3261_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_7_20220219T040206Z-part6.pq
1.1348359693026357,objectTable_tract_2898_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_1_20220308T153907Z-part5.pq
1.1261782715949804,objectTable_tract_3450_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_10_20220315T122041Z-part4.pq
1.1019645133649607,objectTable_tract_4035_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_19_20220221T031952Z-part2.pq
1.1292131380794397,objectTable_tract_3075_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_3_20220315T012904Z-part4.pq
1.1442760606537306,objectTable_tract_4432_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_22_20220304T174139Z-part3.pq
1.105811672670535,objectTable_tract_2903_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_2_20220308T164354Z-part0.pq
1.1303458380183309,objectTable_tract_3452_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_10_20220315T122041Z-part3.pq
1.1325620207487594,objectTable_tract_4029_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_18_20220220T153612Z-part11.pq
1.1213289518959466,objectTable_tract_3643_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_13_20220220T142359Z-part1.pq
1.1395285514345697,objectTable_tract_4849_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_32_20220410T130944Z-part6.pq
1.1192674950053365,objectTable_tract_5074_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_31_20220314T212509Z-part5.pq
1.1139000790173117,objectTable_tract_3077_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_4_20220315T051405Z-part11.pq
1.1112837619789253,objectTable_tract_3258_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_6_20220316T192214Z-part11.pq
1.1184208389441133,objectTable_tract_4645_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_26_20220305T162808Z-part3.pq
1.117777585448356,objectTable_tract_3442_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_8_20220316T205925Z-part11.pq
1.1502643689677055,objectTable_tract_3830_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_15_20220302T200340Z-part9.pq
1.0795220737419102,objectTable_tract_5070_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_30_20220306T160359Z-part9.pq
1.1461253192356944,objectTable_tract_3642_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_13_20220220T142359Z-part7.pq
1.141263033627643,objectTable_tract_3826_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_14_20220219T051120Z-part11.pq
1.1320995215311005,objectTable_tract_3266_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_8_20220316T205925Z-part4.pq
1.1528154623973037,objectTable_tract_3080_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_4_20220309T042312Z-part8.pq
1.1423823882551984,objectTable_tract_4642_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_25_20220305T164554Z-part10.pq
1.1345745867486094,objectTable_tract_5073_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_31_20220314T212509Z-part3.pq
1.1296125532472185,objectTable_tract_3267_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_8_20220309T160814Z-part5.pq
1.1652533464552894,objectTable_tract_3829_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_14_20220219T051120Z-part13.pq
1.1480962112657518,objectTable_tract_5067_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_29_20220314T204515Z-part6.pq
1.1118574951259774,objectTable_tract_3268_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_8_20220309T160814Z-part6.pq
1.1367469818877312,objectTable_tract_2903_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_2_20220308T164354Z-part7.pq
1.1180501642935377,objectTable_tract_3837_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_16_20220219T164501Z-part0.pq
1.133319090940066,objectTable_tract_3452_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_10_20220315T122041Z-part10.pq
1.1230991316115935,objectTable_tract_4435_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_23_20220305T044606Z-part2.pq
1.118396641109894,objectTable_tract_3837_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_16_20220219T164501Z-part5.pq
1.107052609632358,objectTable_tract_3079_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_4_20220315T051405Z-part11.pq
1.1511838186454113,objectTable_tract_3448_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_10_20220315T122041Z-part11.pq
1.1129606656472324,objectTable_tract_3639_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_13_20220220T142359Z-part6.pq
1.1312013916598416,objectTable_tract_4231_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_20_20220303T145311Z-part7.pq
1.1407334922543382,objectTable_tract_3827_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_14_20220219T051120Z-part10.pq
1.121336807529953,objectTable_tract_3641_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_13_20220302T190942Z-part8.pq
1.123527813244662,objectTable_tract_2907_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_3_20220309T040429Z-part6.pq
1.1313466053748231,objectTable_tract_3443_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_9_20220219T154502Z-part6.pq
1.0882591764369858,objectTable_tract_4035_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_19_20220221T031952Z-part6.pq
1.1240784892257352,objectTable_tract_3257_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_6_20220316T192214Z-part5.pq
1.146890850920675,objectTable_tract_3084_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_5_20220218T163030Z-part11.pq
1.1438813251881659,objectTable_tract_3079_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_4_20220315T051405Z-part12.pq
1.1676448630875378,objectTable_tract_3831_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_15_20220302T200340Z-part12.pq
1.1414527805311547,objectTable_tract_4648_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_27_20220322T202545Z-part2.pq
1.1095157775040274,objectTable_tract_5071_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_30_20220306T160359Z-part8.pq
