dir,file_name,row_counts,file_size
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_2903_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_2_20220308T164354Z-part0.pq,objectTable_tract_2903_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_2_20220308T164354Z-part0.pq,1807996,181489567
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_3837_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_16_20220219T164501Z-part0.pq,objectTable_tract_3837_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_16_20220219T164501Z-part0.pq,1506448,150927658
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_3084_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_5_20220218T163030Z-part0.pq,objectTable_tract_3084_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_5_20220218T163030Z-part0.pq,1747936,175531520
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_4638_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_25_20220305T164554Z-part0.pq,objectTable_tract_4638_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_25_20220305T164554Z-part0.pq,1939023,194337462
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_3632_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_11_20220220T032646Z-part0.pq,objectTable_tract_3632_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_11_20220220T032646Z-part0.pq,1808776,181517391
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_3832_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_15_20220302T200340Z-part0.pq,objectTable_tract_3832_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_15_20220302T200340Z-part0.pq,1862340,186711607
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_4225_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_19_20220302T215536Z-part0.pq,objectTable_tract_4225_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_19_20220302T215536Z-part0.pq,1862179,186768365
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_3265_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_7_20220219T040206Z-part0.pq,objectTable_tract_3265_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_7_20220219T040206Z-part0.pq,1758172,176551106
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_4026_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_17_20220220T035232Z-part0.pq,objectTable_tract_4026_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_17_20220220T035232Z-part0.pq,1890680,189407920
/lustre/t1/cl/lsst/pz_project/pcw_2023/dp0.2_pre_processed_2M_obj_per_file/objectTable_tract_3267_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_8_20220309T160814Z-part0.pq,objectTable_tract_3267_DC2_2_2i_runs_DP0_2_v23_0_1_PREOPS-905_step3_8_20220309T160814Z-part0.pq,1740932,174955300
